liczba_opozn;wykorz_limit;bad_flag;points1;points2;score
1;0,3;0;15;17;32
2;0,69;1;0;0;0
0;0,66;0;28;0;28
0;0,39;0;28;0;28
1;0,49;1;15;0;15
1;0,45;0;15;0;15
0;0,28;1;28;17;45
0;0,34;0;28;17;45
0;0,12;0;28;32;60
2;0,05;0;0;32;32
0;0,02;1;28;32;60
1;0,14;0;15;32;47
3;0,59;1;0;0;0
2;0,43;1;0;0;0
1;0,47;0;15;0;15
2;0,32;0;0;17;17
1;0,31;0;15;17;32
1;0,17;0;15;25;40
0;0,19;0;28;25;53
1;0,58;1;15;0;15
0;0,4;0;28;0;28
0;0,24;1;28;25;53
1;0,46;0;15;0;15
0;0,11;0;28;32;60
2;0,5;0;0;0;0
0;0,37;0;28;17;45
0;0,46;0;28;0;28
0;0,52;0;28;0;28
0;0,1;0;28;32;60
0;0,08;0;28;32;60
0;0,06;0;28;32;60
2;0,36;0;0;17;17
0;0,33;0;28;17;45
0;0,15;0;28;32;60
1;0,29;0;15;17;32
0;0,38;0;28;17;45
0;0,26;0;28;25;53
0;0,16;0;28;25;53
1;0,4;1;15;0;15
0;0,09;0;28;32;60
1;0,59;1;15;0;15
0;0,2;0;28;25;53
0;0,02;0;28;32;60
0;0,35;1;28;17;45
0;0,2;0;28;25;53
0;0,22;0;28;25;53
0;0,24;0;28;25;53
1;0,3;1;15;17;32
0;0,07;1;28;32;60
3;0,59;1;0;0;0
0;0,24;0;28;25;53
0;0,43;0;28;0;28
0;0,53;0;28;0;28
2;0,55;1;0;0;0
0;0,18;0;28;25;53
1;0,56;0;15;0;15
1;0,35;0;15;17;32
0;0,37;1;28;17;45
0;0,12;0;28;32;60
0;0,18;0;28;25;53
0;0,23;0;28;25;53
1;0,4;0;15;0;15
0;0,15;0;28;32;60
0;0,02;0;28;32;60
0;0,27;0;28;17;45
0;0,59;0;28;0;28
0;0,01;0;28;32;60
0;0,01;0;28;32;60
2;0,44;0;0;0;0
0;0,04;0;28;32;60
1;0,3;1;15;17;32
0;0,02;0;28;32;60
2;0,33;0;0;17;17
1;0,45;1;15;0;15
0;0,1;0;28;32;60
0;0,13;0;28;32;60
0;0,28;0;28;17;45
1;0,17;0;15;25;40
1;0,26;0;15;25;40
0;0,36;0;28;17;45
0;0,28;0;28;17;45
2;0,04;0;0;32;32
1;0,31;1;15;17;32
0;0,09;0;28;32;60
2;0,5;0;0;0;0
1;0,29;0;15;17;32
0;0,49;0;28;0;28
3;0,16;0;0;25;25
0;0,35;0;28;17;45
2;0,42;0;0;0;0
2;0,65;0;0;0;0
0;0,14;0;28;32;60
1;0,4;0;15;0;15
0;0,22;1;28;25;53
0;0,44;0;28;0;28
1;0,3;1;15;17;32
2;0,17;1;0;25;25
2;0,39;0;0;0;0
2;0,06;1;0;32;32
0;0,23;0;28;25;53
0;0,17;0;28;25;53
0;0,53;1;28;0;28
0;0,1;0;28;32;60
0;0,34;0;28;17;45
1;0,27;0;15;17;32
0;0,39;0;28;0;28
