ID,util,times30dpd,dti,bad
1,"13,30%",0,"27,00%",0
2,"84,20%",1,"44,00%",0
3,"31,30%",2,"38,00%",1
4,"1,90%",0,"2,00%",0
5,"15,50%",0,"36,00%",0
6,"57,00%",0,"32,00%",0
7,"52,20%",0,"40,00%",0
8,"68,20%",2,"11,00%",0
9,"59,30%",1,"23,00%",0
10,"30,30%",1,"31,00%",0
11,"5,00%",0,"4,00%",0
12,"22,60%",0,"16,00%",0
13,"19,00%",0,"7,00%",0
14,"43,30%",1,"18,00%",0
15,"22,60%",0,"8,00%",0
16,"99,20%",3,"35,00%",1
17,"58,00%",0,"9,00%",0
18,"14,40%",0,"23,00%",0
19,"52,60%",3,"33,00%",0
20,"68,10%",0,"26,00%",0
21,"3,50%",0,"16,00%",0
22,"16,40%",0,"20,00%",0
23,"7,00%",0,"8,00%",0
24,"18,80%",0,"31,00%",0
25,"28,60%",0,"36,00%",1
26,"78,90%",2,"48,00%",1
27,"75,60%",0,"31,00%",0
28,"69,60%",0,"31,00%",0
29,"24,20%",1,"35,00%",0
30,"4,90%",1,"28,00%",0
31,"64,70%",0,"46,00%",1
32,"63,90%",0,"25,00%",0
33,"4,50%",0,"12,00%",0
34,"68,40%",1,"57,00%",1
35,"73,50%",0,"16,00%",1
36,"42,90%",0,"23,00%",0
37,"82,10%",4,"57,00%",1
38,"19,30%",0,"9,00%",0
39,"70,50%",0,"47,00%",1
40,"73,80%",1,"38,00%",0
41,"70,20%",3,"36,00%",0
42,"37,90%",1,"21,00%",0
43,"8,60%",0,"21,00%",0
44,"44,10%",0,"21,00%",0
45,"57,30%",0,"36,00%",0
46,"48,70%",0,"29,00%",0
47,"54,30%",1,"1,00%",0
48,"13,50%",2,"19,00%",0
49,"94,30%",1,"27,00%",0
50,"13,80%",1,"43,00%",0
51,"5,20%",2,"23,00%",0
52,"71,10%",0,"11,00%",0
53,"16,40%",0,"24,00%",0
54,"8,80%",0,"17,00%",1
55,"26,90%",0,"27,00%",1
56,"54,40%",0,"18,00%",0
57,"23,60%",0,"30,00%",0
58,"71,50%",1,"40,00%",0
59,"19,20%",0,"5,00%",0
60,"46,80%",0,"8,00%",0
61,"6,80%",0,"28,00%",0
62,"25,80%",0,"23,00%",0
63,"74,40%",4,"39,00%",1
64,"28,10%",0,"10,00%",0
65,"77,20%",0,"14,00%",0
66,"14,30%",3,"33,00%",0
67,"44,00%",0,"20,00%",0
68,"60,90%",0,"10,00%",0
69,"12,10%",1,"11,00%",0
70,"33,10%",0,"30,00%",1
71,"5,80%",0,"13,00%",0
72,"58,30%",0,"8,00%",0
73,"18,50%",0,"27,00%",0
74,"38,50%",0,"3,00%",0
75,"6,60%",0,"22,00%",0
76,"8,80%",0,"19,00%",0
77,"20,60%",0,"18,00%",0
78,"29,30%",1,"65,00%",1
79,"36,40%",0,"26,00%",0
80,"58,70%",0,"39,00%",0
81,"2,60%",0,"30,00%",0
82,"14,60%",1,"15,00%",0
83,"71,20%",2,"20,00%",0
84,"13,80%",0,"25,00%",0
85,"22,60%",0,"32,00%",0
86,"15,50%",0,"34,00%",0
87,"74,10%",0,"11,00%",0
88,"69,30%",4,"10,00%",0
89,"4,90%",0,"15,00%",0
90,"85,30%",1,"50,00%",1
91,"62,30%",0,"40,00%",0
92,"82,10%",3,"27,00%",1
93,"3,80%",0,"24,00%",0
94,"56,10%",0,"3,00%",0
95,"4,70%",1,"10,00%",0
96,"17,70%",0,"32,00%",0
97,"51,20%",2,"1,00%",0
98,"51,70%",2,"26,00%",0
99,"39,70%",0,"45,00%",0
100,"0,10%",0,"3,00%",0
101,"52,80%",0,"16,00%",0
102,"30,40%",0,"36,00%",0
103,"80,20%",4,"29,00%",1
104,"67,20%",2,"5,00%",0
105,"70,70%",1,"7,00%",0
106,"44,10%",0,"10,00%",0
107,"60,50%",0,"32,00%",0
108,"49,10%",0,"39,00%",1
109,"1,90%",1,"17,00%",0
110,"27,20%",1,"36,00%",1
111,"66,10%",2,"26,00%",0
112,"20,40%",0,"47,00%",0
113,"60,40%",0,"37,00%",1
114,"40,10%",1,"51,00%",0
115,"77,80%",0,"22,00%",0
116,"74,80%",1,"20,00%",0
117,"4,80%",0,"50,00%",0
118,"77,20%",0,"5,00%",0
119,"18,30%",0,"10,00%",0
120,"79,30%",0,"5,00%",0
121,"12,10%",0,"2,00%",0
122,"24,00%",0,"20,00%",0
123,"25,20%",0,"21,00%",0
124,"31,50%",0,"25,00%",0
125,"15,50%",2,"46,00%",1
126,"8,80%",0,"12,00%",0
127,"10,30%",0,"26,00%",0
128,"9,40%",0,"11,00%",0
129,"51,90%",1,"6,00%",0
130,"16,00%",0,"20,00%",0
131,"49,00%",0,"15,00%",0
132,"20,20%",1,"5,00%",0
133,"53,70%",1,"22,00%",1
134,"7,00%",0,"17,00%",0
135,"23,70%",0,"24,00%",0
136,"70,70%",1,"1,00%",0
137,"67,90%",2,"38,00%",0
138,"16,50%",0,"34,00%",0
139,"78,80%",0,"14,00%",0
140,"73,70%",3,"24,00%",0
141,"64,00%",3,"27,00%",0
142,"7,70%",0,"30,00%",0
143,"57,50%",2,"40,00%",1
144,"87,40%",2,"16,00%",1
145,"20,60%",0,"34,00%",0
146,"6,40%",1,"47,00%",1
147,"44,10%",0,"19,00%",0
148,"56,40%",2,"29,00%",1
149,"57,20%",3,"0,00%",0
150,"27,80%",0,"38,00%",0
151,"15,20%",0,"9,00%",0
152,"57,50%",0,"7,00%",0
153,"84,10%",0,"49,00%",1
154,"33,00%",1,"34,00%",1
155,"2,40%",0,"20,00%",0
156,"33,10%",0,"23,00%",0
157,"85,70%",1,"52,00%",1
158,"7,00%",0,"12,00%",0
159,"6,00%",0,"21,00%",0
160,"2,00%",0,"6,00%",0
161,"44,30%",0,"27,00%",0
162,"17,60%",1,"64,00%",0
163,"85,50%",2,"66,00%",0
164,"81,00%",0,"23,00%",0
165,"3,60%",0,"3,00%",0
166,"73,90%",2,"24,00%",0
167,"85,00%",2,"54,00%",1
168,"34,30%",2,"15,00%",0
169,"68,40%",2,"41,00%",0
170,"52,00%",1,"59,00%",0
171,"76,40%",3,"56,00%",0
172,"9,70%",0,"38,00%",0
173,"7,00%",0,"63,00%",0
174,"58,20%",0,"61,00%",1
175,"74,70%",2,"33,00%",1
176,"52,10%",0,"10,00%",0
177,"71,30%",2,"23,00%",1
178,"73,30%",1,"36,00%",0
179,"8,60%",0,"20,00%",0
180,"50,50%",0,"52,00%",1
181,"17,80%",0,"2,00%",0
182,"6,00%",0,"23,00%",0
183,"22,20%",0,"53,00%",1
184,"58,00%",0,"24,00%",0
185,"30,80%",1,"19,00%",0
186,"91,20%",3,"29,00%",0
187,"45,90%",2,"48,00%",0
188,"30,50%",0,"30,00%",1
189,"20,00%",0,"33,00%",0
190,"6,90%",0,"43,00%",0
191,"21,00%",0,"37,00%",0
192,"74,60%",0,"31,00%",0
193,"13,90%",1,"8,00%",0
194,"13,70%",0,"35,00%",1
195,"9,20%",0,"21,00%",0
196,"55,90%",0,"24,00%",0
197,"93,80%",2,"38,00%",0
198,"30,10%",2,"15,00%",0
199,"75,60%",0,"1,00%",0
200,"56,40%",2,"72,00%",1
201,"29,40%",1,"23,00%",0
202,"53,30%",0,"42,00%",0
203,"20,00%",0,"33,00%",0
204,"22,50%",0,"22,00%",0
205,"41,70%",0,"52,00%",0
206,"75,20%",2,"16,00%",0
207,"6,10%",1,"42,00%",1
208,"29,70%",0,"15,00%",0
209,"35,30%",0,"25,00%",1
210,"35,10%",0,"59,00%",0
211,"32,70%",0,"12,00%",0
212,"22,10%",2,"28,00%",0
213,"42,80%",0,"22,00%",0
214,"66,10%",2,"4,00%",0
215,"18,70%",2,"57,00%",0
216,"43,70%",0,"24,00%",0
217,"3,70%",2,"4,00%",0
218,"0,80%",0,"23,00%",0
219,"12,50%",0,"36,00%",0
220,"85,80%",0,"19,00%",0
221,"57,10%",1,"32,00%",0
222,"5,30%",0,"8,00%",0
223,"19,20%",0,"55,00%",0
224,"4,30%",0,"17,00%",0
225,"17,90%",0,"22,00%",0
226,"54,10%",0,"42,00%",0
227,"11,50%",0,"9,00%",0
228,"34,40%",0,"24,00%",0
229,"11,00%",1,"10,00%",0
230,"12,50%",0,"23,00%",0
231,"12,40%",0,"15,00%",0
232,"59,50%",1,"49,00%",1
233,"23,50%",1,"30,00%",0
234,"63,10%",2,"55,00%",1
235,"68,50%",4,"43,00%",1
236,"22,90%",0,"33,00%",0
237,"80,10%",0,"11,00%",0
238,"22,30%",0,"5,00%",0
239,"5,80%",0,"12,00%",0
240,"21,70%",0,"20,00%",0
241,"2,40%",0,"28,00%",0
242,"4,00%",1,"11,00%",0
243,"60,90%",2,"15,00%",0
244,"31,70%",0,"3,00%",0
245,"43,30%",1,"77,00%",1
246,"47,80%",0,"33,00%",0
247,"1,90%",0,"5,00%",0
248,"8,50%",0,"3,00%",0
249,"63,90%",0,"26,00%",0
250,"77,20%",3,"24,00%",1
251,"50,20%",0,"30,00%",0
252,"21,90%",0,"40,00%",0
253,"79,40%",1,"8,00%",0
254,"45,10%",0,"11,00%",0
255,"13,60%",3,"35,00%",0
256,"4,70%",0,"3,00%",0
257,"23,40%",3,"22,00%",0
258,"8,60%",0,"39,00%",0
259,"67,10%",1,"8,00%",0
260,"45,70%",0,"7,00%",0
261,"21,90%",1,"3,00%",0
262,"28,30%",0,"49,00%",1
263,"75,00%",2,"67,00%",1
264,"18,30%",1,"41,00%",1
265,"3,10%",0,"20,00%",0
266,"28,70%",0,"17,00%",0
267,"6,40%",0,"0,00%",0
268,"58,80%",0,"26,00%",0
269,"41,50%",2,"31,00%",0
270,"56,50%",0,"18,00%",0
271,"19,10%",0,"50,00%",0
272,"80,70%",2,"12,00%",0
273,"67,40%",1,"20,00%",0
274,"51,60%",1,"13,00%",0
275,"9,40%",0,"3,00%",0
276,"30,40%",1,"54,00%",1
277,"55,30%",2,"38,00%",1
278,"27,10%",0,"1,00%",0
279,"12,70%",0,"8,00%",0
280,"51,00%",0,"3,00%",0
281,"23,50%",0,"4,00%",0
282,"84,40%",1,"80,00%",1
283,"5,80%",1,"27,00%",0
284,"94,90%",2,"22,00%",0
285,"7,40%",0,"25,00%",0
286,"13,40%",0,"29,00%",0
287,"16,00%",0,"42,00%",0
288,"18,10%",1,"27,00%",0
289,"32,50%",0,"8,00%",1
290,"18,20%",0,"14,00%",0
291,"21,80%",1,"30,00%",0
292,"9,20%",0,"42,00%",1
293,"77,90%",2,"22,00%",0
294,"56,80%",1,"26,00%",1
295,"1,70%",0,"12,00%",0
296,"29,30%",0,"3,00%",0
297,"46,90%",0,"19,00%",0
298,"74,10%",1,"29,00%",1
299,"5,10%",0,"10,00%",0
300,"33,70%",1,"43,00%",0
301,"71,00%",2,"15,00%",0
302,"94,20%",2,"42,00%",1
303,"21,60%",1,"52,00%",1
304,"65,40%",0,"30,00%",0
305,"26,20%",0,"14,00%",0
306,"55,80%",0,"26,00%",0
307,"16,00%",1,"44,00%",0
308,"4,90%",2,"22,00%",0
309,"9,40%",1,"15,00%",0
310,"12,90%",2,"41,00%",0
311,"19,40%",0,"36,00%",0
312,"12,90%",0,"27,00%",1
313,"38,10%",0,"19,00%",0
314,"32,70%",0,"23,00%",0
315,"12,30%",0,"12,00%",0
316,"7,40%",0,"40,00%",0
317,"75,90%",0,"27,00%",0
318,"12,60%",0,"23,00%",0
319,"13,40%",0,"10,00%",0
320,"9,30%",0,"21,00%",0
321,"19,60%",0,"49,00%",1
322,"40,00%",1,"29,00%",0
323,"85,30%",4,"48,00%",0
324,"14,50%",4,"8,00%",0
325,"3,10%",0,"48,00%",0
326,"23,60%",0,"40,00%",0
327,"69,50%",1,"33,00%",1
328,"42,10%",1,"76,00%",1
329,"76,20%",0,"40,00%",0
330,"63,70%",1,"1,00%",0
331,"91,70%",3,"20,00%",1
332,"2,60%",1,"24,00%",0
333,"47,20%",0,"38,00%",0
334,"18,60%",0,"12,00%",0
335,"9,80%",1,"39,00%",0
336,"23,30%",2,"33,00%",0
337,"29,00%",0,"23,00%",0
338,"27,70%",0,"50,00%",0
339,"23,70%",1,"3,00%",0
340,"14,90%",2,"53,00%",0
341,"19,20%",0,"15,00%",0
342,"23,20%",3,"39,00%",0
343,"13,00%",0,"22,00%",0
344,"13,20%",0,"18,00%",0
345,"16,40%",0,"11,00%",0
346,"10,80%",0,"1,00%",0
347,"0,30%",0,"15,00%",0
348,"74,90%",0,"31,00%",0
349,"20,70%",1,"13,00%",0
350,"10,40%",2,"51,00%",1
351,"2,40%",0,"43,00%",0
352,"79,80%",0,"13,00%",1
353,"60,70%",2,"20,00%",0
354,"44,80%",0,"66,00%",1
355,"7,80%",0,"25,00%",0
356,"41,10%",1,"62,00%",1
357,"60,90%",0,"14,00%",0
358,"12,20%",0,"25,00%",0
359,"23,80%",0,"26,00%",0
360,"64,20%",1,"7,00%",0
361,"10,10%",0,"18,00%",0
362,"75,10%",1,"51,00%",0
363,"19,00%",0,"2,00%",0
364,"36,50%",0,"79,00%",1
365,"46,70%",0,"29,00%",0
366,"19,50%",0,"43,00%",0
367,"71,00%",0,"18,00%",0
368,"23,80%",4,"27,00%",0
369,"78,20%",1,"28,00%",0
370,"6,90%",0,"39,00%",0
371,"8,10%",0,"12,00%",0
372,"33,80%",0,"11,00%",0
373,"54,40%",1,"14,00%",0
374,"16,00%",1,"11,00%",0
375,"8,10%",0,"31,00%",0
376,"21,30%",0,"23,00%",0
377,"20,90%",1,"9,00%",0
378,"92,20%",1,"49,00%",1
379,"15,60%",1,"29,00%",0
380,"57,60%",3,"52,00%",1
381,"74,00%",1,"47,00%",0
382,"19,40%",0,"15,00%",0
383,"73,70%",1,"41,00%",0
384,"58,90%",2,"43,00%",0
385,"33,10%",0,"20,00%",0
386,"73,80%",3,"27,00%",0
387,"43,00%",1,"5,00%",0
388,"49,30%",0,"17,00%",1
389,"12,90%",1,"22,00%",0
390,"19,40%",0,"20,00%",0
391,"76,80%",0,"22,00%",1
392,"7,40%",0,"31,00%",0
393,"66,70%",0,"25,00%",1
394,"87,30%",3,"29,00%",1
395,"41,50%",2,"42,00%",1
396,"0,70%",0,"8,00%",0
397,"80,70%",2,"13,00%",0
398,"43,00%",0,"26,00%",0
399,"35,50%",1,"6,00%",0
400,"80,30%",0,"31,00%",0
401,"44,40%",2,"32,00%",1
402,"26,00%",0,"1,00%",0
403,"39,60%",0,"39,00%",0
404,"15,80%",0,"19,00%",0
405,"10,40%",0,"29,00%",0
406,"4,30%",1,"62,00%",0
407,"5,00%",0,"17,00%",0
408,"29,50%",0,"49,00%",0
409,"2,40%",0,"16,00%",0
410,"49,10%",0,"2,00%",0
411,"41,60%",0,"21,00%",0
412,"37,30%",2,"41,00%",0
413,"20,60%",1,"4,00%",0
414,"64,40%",3,"8,00%",0
415,"5,40%",0,"19,00%",0
416,"86,40%",5,"61,00%",1
417,"47,40%",1,"50,00%",0
418,"26,40%",0,"5,00%",0
419,"67,80%",0,"29,00%",1
420,"16,40%",2,"6,00%",0
421,"83,30%",2,"25,00%",1
422,"42,20%",0,"35,00%",0
423,"68,20%",0,"54,00%",1
424,"44,90%",0,"42,00%",0
425,"67,20%",0,"51,00%",0
426,"49,40%",0,"13,00%",0
427,"27,60%",0,"1,00%",0
428,"43,30%",1,"34,00%",1
429,"88,50%",0,"10,00%",0
430,"35,20%",0,"11,00%",0
431,"70,40%",0,"8,00%",0
432,"17,50%",0,"34,00%",0
433,"18,00%",0,"36,00%",0
434,"32,60%",0,"29,00%",0
435,"8,10%",0,"10,00%",0
436,"63,50%",1,"9,00%",0
437,"20,20%",0,"15,00%",0
438,"43,90%",0,"17,00%",0
439,"1,70%",0,"25,00%",0
440,"13,30%",0,"5,00%",0
441,"69,90%",1,"46,00%",1
442,"27,00%",1,"29,00%",0
443,"17,70%",1,"13,00%",0
444,"58,70%",0,"5,00%",0
445,"9,90%",0,"5,00%",0
446,"14,50%",0,"20,00%",0
447,"63,70%",0,"28,00%",0
448,"72,90%",0,"36,00%",1
449,"77,40%",2,"10,00%",1
450,"5,30%",0,"38,00%",0
451,"7,80%",1,"16,00%",0
452,"1,60%",0,"32,00%",0
453,"58,50%",0,"46,00%",1
454,"59,20%",0,"23,00%",1
455,"9,50%",2,"20,00%",0
456,"20,50%",2,"21,00%",1
457,"3,40%",0,"21,00%",0
458,"63,70%",0,"8,00%",1
459,"3,80%",0,"14,00%",0
460,"31,00%",2,"61,00%",0
461,"17,70%",2,"19,00%",0
462,"53,30%",0,"15,00%",0
463,"8,00%",0,"21,00%",0
464,"56,30%",0,"21,00%",0
